"GEO_ID","NAME","P12_001N","P12_002N","P12_003N","P12_004N","P12_005N","P12_006N","P12_007N","P12_008N","P12_009N","P12_010N","P12_011N","P12_012N","P12_013N","P12_014N","P12_015N","P12_016N","P12_017N","P12_018N","P12_019N","P12_020N","P12_021N","P12_022N","P12_023N","P12_024N","P12_025N","P12_026N","P12_027N","P12_028N","P12_029N","P12_030N","P12_031N","P12_032N","P12_033N","P12_034N","P12_035N","P12_036N","P12_037N","P12_038N","P12_039N","P12_040N","P12_041N","P12_042N","P12_043N","P12_044N","P12_045N","P12_046N","P12_047N","P12_048N","P12_049N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Male:"," !!Total:!!Male:!!Under 5 years"," !!Total:!!Male:!!5 to 9 years"," !!Total:!!Male:!!10 to 14 years"," !!Total:!!Male:!!15 to 17 years"," !!Total:!!Male:!!18 and 19 years"," !!Total:!!Male:!!20 years"," !!Total:!!Male:!!21 years"," !!Total:!!Male:!!22 to 24 years"," !!Total:!!Male:!!25 to 29 years"," !!Total:!!Male:!!30 to 34 years"," !!Total:!!Male:!!35 to 39 years"," !!Total:!!Male:!!40 to 44 years"," !!Total:!!Male:!!45 to 49 years"," !!Total:!!Male:!!50 to 54 years"," !!Total:!!Male:!!55 to 59 years"," !!Total:!!Male:!!60 and 61 years"," !!Total:!!Male:!!62 to 64 years"," !!Total:!!Male:!!65 and 66 years"," !!Total:!!Male:!!67 to 69 years"," !!Total:!!Male:!!70 to 74 years"," !!Total:!!Male:!!75 to 79 years"," !!Total:!!Male:!!80 to 84 years"," !!Total:!!Male:!!85 years and over"," !!Total:!!Female:"," !!Total:!!Female:!!Under 5 years"," !!Total:!!Female:!!5 to 9 years"," !!Total:!!Female:!!10 to 14 years"," !!Total:!!Female:!!15 to 17 years"," !!Total:!!Female:!!18 and 19 years"," !!Total:!!Female:!!20 years"," !!Total:!!Female:!!21 years"," !!Total:!!Female:!!22 to 24 years"," !!Total:!!Female:!!25 to 29 years"," !!Total:!!Female:!!30 to 34 years"," !!Total:!!Female:!!35 to 39 years"," !!Total:!!Female:!!40 to 44 years"," !!Total:!!Female:!!45 to 49 years"," !!Total:!!Female:!!50 to 54 years"," !!Total:!!Female:!!55 to 59 years"," !!Total:!!Female:!!60 and 61 years"," !!Total:!!Female:!!62 to 64 years"," !!Total:!!Female:!!65 and 66 years"," !!Total:!!Female:!!67 to 69 years"," !!Total:!!Female:!!70 to 74 years"," !!Total:!!Female:!!75 to 79 years"," !!Total:!!Female:!!80 to 84 years"," !!Total:!!Female:!!85 years and over",
"0400000US02","Alaska","733391","381417","24861","26134","26665","14934","10038","5695","5667","16286","28971","29668","28305","23252","21673","22368","25150","10177","13993","8892","11058","13629","7601","3823","2577","351974","23243","24920","24679","13952","8509","4358","4267","13183","26087","27313","25629","21200","20127","20666","23181","9537","13518","8460","10400","12758","7748","4297","3942",
"0500000US02013","Aleutians East Borough, Alaska","3420","2371","38","33","51","38","23","12","14","98","230","302","308","207","219","229","234","91","96","39","37","53","13","1","5","1049","32","39","48","21","22","6","17","43","89","99","101","81","91","108","98","36","31","20","17","33","11","4","2",
"0500000US02016","Aleutians West Census Area, Alaska","5232","3432","76","106","87","57","74","75","72","121","320","395","447","284","290","307","329","108","109","61","45","44","9","5","11","1800","86","102","87","52","28","17","16","67","148","179","160","126","149","180","161","61","53","34","32","34","12","8","8",
"0500000US02020","Anchorage Municipality, Alaska","291247","147894","9746","9879","9964","5657","4004","2249","2347","6820","12283","12050","11202","9046","8362","8650","9555","3742","5103","3232","3852","4935","2754","1432","1030","143353","8992","9382","9289","5423","3608","1932","1870","5857","11427","11654","10741","8918","8547","8467","9428","3676","5243","3217","3985","5034","3113","1824","1726",
"0500000US02050","Bethel Census Area, Alaska","18666","9747","931","977","881","567","331","174","157","413","741","705","576","508","458","488","571","236","242","168","209","204","138","59","13","8919","863","939","890","488","299","140","134","438","733","642","528","429","390","386","472","174","226","128","166","193","137","53","71",
"0500000US02060","Bristol Bay Borough, Alaska","844","440","23","37","18","16","5","6","3","10","34","32","23","17","34","30","37","23","19","13","18","17","12","7","6","404","22","25","24","21","5","4","5","12","25","33","25","20","31","16","34","19","20","7","23","14","8","6","5",
"0500000US02063","Chugach Census Area, Alaska","7102","3759","216","250","249","140","90","51","53","105","258","298","305","219","217","243","295","111","189","107","109","119","65","36","34","3343","227","224","224","116","73","30","40","87","237","263","278","201","207","203","232","119","149","95","93","121","62","30","32",
"0500000US02066","Copper River Census Area, Alaska","2617","1422","67","90","100","50","27","13","10","27","56","80","92","71","94","74","138","72","79","43","62","91","53","17","16","1195","70","71","85","53","19","6","9","35","55","76","78","79","55","70","99","55","73","42","38","56","40","16","15",
"0500000US02068","Denali Borough, Alaska","1619","847","42","49","42","32","11","3","7","9","46","55","77","64","48","51","86","31","57","25","37","35","17","14","9","772","47","32","62","22","9","8","4","18","53","67","63","58","54","42","65","28","34","17","38","13","19","14","5",
