Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Counties
2021,AK,Alaska,Anchorage,02020,02020001200,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.5,,,2.2,3.0,3718,POINT (-149.9053681 61.20995594),02020001200,HLTHOUT,STROKE,CrdPrv,Stroke,1669
2021,AK,Alaska,Anchorage,02020,02020001300,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.4,,,2.1,2.8,3059,POINT (-149.9362474 61.20007422),02020001300,HLTHOUT,STROKE,CrdPrv,Stroke,1669
2021,AK,Alaska,Anchorage,02020,02020002303,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.1,,,1.9,2.3,9273,POINT (-149.9287596 61.14605637),02020002303,HLTHOUT,STROKE,CrdPrv,Stroke,1669
2020,AK,Alaska,Matanuska-Susitna,02170,02170000601,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,63.2,,,59.5,66.6,4481,POINT (-149.4022496 61.52483947),02170000601,PREVENT,DENTAL,CrdPrv,Dental Visit,1707
2021,AK,Alaska,Kenai Peninsula,02122,02122001300,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,23.4,,,20.7,26.1,4772,POINT (-149.6087124 59.97556911),02122001300,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,110
2021,AK,Alaska,Kenai Peninsula,02122,02122000500,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,21.7,,,18.7,25.0,6263,POINT (-151.0417414 60.5167027),02122000500,RISKBEH,LPA,CrdPrv,Physical Inactivity,110
2021,AK,Alaska,Yukon-Koyukuk,02290,02290000300,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,29.3,,,24.9,34.3,1758,POINT (-156.2319567 65.34275156),02290000300,RISKBEH,LPA,CrdPrv,Physical Inactivity,4
2020,AK,Alaska,Yukon-Koyukuk,02290,02290000100,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,43.7,,,41.6,46.1,1311,POINT (-144.4563611 66.85498369),02290000100,PREVENT,DENTAL,CrdPrv,Dental Visit,4
2021,AK,Alaska,Anchorage,02020,02020000701,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,9.4,11.8,5949,POINT (-149.7672573 61.21714935),02020000701,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,1669
2020,AK,Alaska,Valdez-Cordova,02261,02261000100,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,16.0,,,14.2,18.0,2952,POINT (-143.9664358 61.88241828),02261000100,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,1
2021,AK,Alaska,Prince of Wales-Hyder,02198,02198000100,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25.5,,,21.1,30.1,1685,POINT (-132.8745209 55.50357448),02198000100,RISKBEH,LPA,CrdPrv,Physical Inactivity,1708
2020,AK,Alaska,Anchorage,02020,02020002303,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.2,,,32.5,45.6,9273,POINT (-149.9287596 61.14605637),02020002303,PREVENT,COREM,CrdPrv,Core preventive services for older men,1669
2021,AK,Alaska,Fairbanks North Star,02090,02090000600,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,26.8,,,24.1,29.6,4024,POINT (-147.7808278 64.85355494),02090000600,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,1673
2021,AK,Alaska,Juneau,02110,02110000300,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.7,6.0,5483,POINT (-134.556445 58.37932313),02110000300,DISABLT,HEARING,CrdPrv,Hearing Disability,1675
2021,AK,Alaska,Northwest Arctic,02188,02188000100,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.2,,,35.5,51.7,4322,POINT (-159.6909713 67.06465498),02188000100,HLTHOUT,OBESITY,CrdPrv,Obesity,116
2021,AK,Alaska,Matanuska-Susitna,02170,02170000402,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.9,,,32.6,39.4,2105,POINT (-149.7428205 61.82426238),02170000402,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,1707
2021,AK,Alaska,Fairbanks North Star,02090,02090000900,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,13.3,,,10.1,16.9,5772,POINT (-148.003756 64.79218905),02090000900,RISKBEH,CSMOKING,CrdPrv,Current Smoking,1673
2021,AK,Alaska,Northwest Arctic,02188,02188000200,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.2,,,3.6,4.8,3201,POINT (-162.1503988 66.68837413),02188000200,DISABLT,SELFCARE,CrdPrv,Self-care Disability,116
2021,AK,Alaska,Fairbanks North Star,02090,02090001500,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,3.6,,,3.1,4.1,10052,POINT (-147.2453956 64.77481159),02090001500,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,1673
2020,AK,Alaska,Anchorage,02020,02020000703,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67.2,,,64.8,69.6,5706,POINT (-149.7236635 61.22281125),02020000703,PREVENT,MAMMOUSE,CrdPrv,Mammography,1669
2020,AK,Alaska,North Slope,02185,02185000100,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,55.4,,,52.3,58.5,4213,POINT (-156.7348496 71.23014084),02185000100,PREVENT,DENTAL,CrdPrv,Dental Visit,115
2021,AK,Alaska,Sitka,02220,02220000200,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14.4,,,12.2,16.7,5335,POINT (-135.3279218 57.06559894),02220000200,HLTHSTAT,GHLTH,CrdPrv,General Health,118
2021,AK,Alaska,Matanuska-Susitna,02170,02170000705,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.2,,,2.0,2.5,3750,POINT (-149.4513375 61.60670946),02170000705,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,1707
2021,AK,Alaska,Valdez-Cordova,02261,02261000300,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.3,,,8.1,10.5,4420,POINT (-147.3369986 60.85714617),02261000300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,
2021,AK,Alaska,Yakutat,02282,02282000100,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,13.8,,,11.8,15.9,662,POINT (-140.3706428 59.89209696),02282000100,DISABLT,COGNITION,CrdPrv,Cognitive Disability,984
