Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2020,AK,Alaska,Skagway,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,63.2,,,58.4,68.1,1132,02230,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Northwest Arctic,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.3,,,3.9,4.9,7560,02188,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-160.0210864 67.0050655),116,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.4,,,13.4,17.6,838,02060,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Haines,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.1,,,10.1,14.2,2071,02100,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-135.5757906 59.0984037),1674,51
2020,AK,Alaska,Dillingham,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,51.5,,,48.1,54.8,4772,02070,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-158.2671226 59.5433255),1672,51
2020,AK,Alaska,Chugach,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,64.1,,,61.4,66.9,6941,02063,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Copper River,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,19.4,,,16.4,22.6,2630,02066,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-143.9221674 62.034479),1,51
2021,AK,Alaska,Dillingham,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16,,,13.7,18.3,4772,02070,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.6,5.9,13754,02130,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Chugach,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,79.7,,,77.4,81.9,6941,02063,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-146.2030924 60.4884737),1,
2020,AK,Alaska,Sitka,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,33.5,,,27.9,40.3,8407,02220,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-135.3673965 57.1932044),118,
2020,AK,Alaska,Chugach,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.2,,,28.8,31.5,6941,02063,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,15.5,22.6,838,02060,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,13.2,,,11.3,15.2,110686,02170,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Aleutians West,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.2,,,3.8,4.7,5059,02016,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (178.338813 51.9594469),,
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,26.9,34.2,110686,02170,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Denali,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.6,6.9,1593,02068,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-150.0270164 63.6820386),1671,51
2021,AK,Alaska,Southeast Fairbanks,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,13.2,,,11.3,15.2,6970,02240,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-143.2186282 63.8649972),983,51
