Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,MOE,TotalPopulation,LocationID,CategoryID,MeasureID,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2017-2021,AK,Alaska,Aleutians East Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,4.6,2.3,3409,02013,SDOH,CROWD,Percent,Crowding,POINT (-161.9974772 55.2450437),107,51
2017-2021,AK,Alaska,Bethel Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,90.8,0.9,18514,02050,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-160.1526246 60.9291413),108,51
2017-2021,AK,Alaska,Northwest Arctic Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,15.7,1.8,7776,02188,SDOH,UNEMP,Percent,Unemployment,POINT (-160.0210864 67.0050655),116,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,3.8,1.7,5251,02016,SDOH,UNEMP,Percent,Unemployment,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Kusilvak Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,20.4,2.9,8354,02158,SDOH,NOHSDP,Percent,No high school diploma,POINT (-163.1901714 62.2835878),2,51
2017-2021,AK,Alaska,Southeast Fairbanks Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,14.3,0.1,6849,02240,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-143.2186282 63.8649972),983,51
2017-2021,AK,Alaska,Aleutians West Census Area,5-year ACS,SDOH,Single-parent households,%,Percentage,5,2.9,5251,02016,SDOH,SNGPNT,Percent,Single-parent households,POINT (178.338813 51.9594469),,
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,26.2,1.4,106807,02170,SDOH,HCOST,Percent,Housing cost burden,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,Copper River Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,14.5,4.1,2635,02066,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-143.9221674 62.034479),1,51
2017-2021,AK,Alaska,Kusilvak Census Area,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,96.7,2.4,8354,02158,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-163.1901714 62.2835878),2,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,2.6,2.6,2187,02068,SDOH,UNEMP,Percent,Unemployment,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Kenai Peninsula Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,15,1.9,58711,02122,SDOH,BROAD,Percent,No broadband,POINT (-152.0526403 60.360766),110,
2017-2021,AK,Alaska,Ketchikan Gateway Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,28.1,2.6,13939,02130,SDOH,HCOST,Percent,Housing cost burden,POINT (-131.1066847 55.4499378),111,51
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,15.5,0.3,5433,02290,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Yukon-Koyukuk Census Area,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,35.1,3.2,5433,02290,SDOH,POV150,Percent,Poverty,POINT (-151.5778496 65.3757271),4,51
2017-2021,AK,Alaska,Bristol Bay Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,3.8,2.3,849,02060,SDOH,SNGPNT,Percent,Single-parent households,POINT (-156.9668053 58.741661),1670,51
2017-2021,AK,Alaska,Denali Borough,5-year ACS,SDOH,Crowding among housing units,%,Percentage,3.2,2.7,2187,02068,SDOH,CROWD,Percent,Crowding,POINT (-150.0270164 63.6820386),1671,51
2017-2021,AK,Alaska,Wrangell City and Borough,5-year ACS,SDOH,Persons of racial or ethnic minority status,%,Percentage,43.2,6.7,2162,02275,SDOH,REMNRTY,Percent,Racial or ethnic minority status,POINT (-132.0267878 56.1807793),3,51
2017-2021,AK,Alaska,North Slope Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,13.9,2.6,10865,02185,SDOH,POV150,Percent,Poverty,POINT (-153.4728302 69.4493427),115,51
2017-2021,AK,Alaska,Hoonah-Angoon Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,6.3,1.8,2327,02105,SDOH,NOHSDP,Percent,No high school diploma,POINT (-135.884909 58.403336),109,51
2017-2021,AK,Alaska,Petersburg Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,8.5,3.1,3368,02195,SDOH,NOHSDP,Percent,No high school diploma,POINT (-133.0085979 57.1124581),117,51
2017-2021,AK,Alaska,Fairbanks North Star Borough,5-year ACS,SDOH,Persons living below 150% of the poverty level,%,Percentage,14,1.4,97149,02090,SDOH,POV150,Percent,Poverty,POINT (-146.5481586 64.6760436),1673,51
2017-2021,AK,Alaska,Kodiak Island Borough,5-year ACS,SDOH,Persons aged 65 years or older,%,Percentage,11.4,0.3,13218,02150,SDOH,AGE65,Percent,Aged 65 years or older,POINT (-153.9183721 57.7044003),,51
2017-2021,AK,Alaska,Copper River Census Area,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,5.9,2.3,2635,02066,SDOH,NOHSDP,Percent,No high school diploma,POINT (-143.9221674 62.034479),1,51
2017-2021,AK,Alaska,Sitka City and Borough,5-year ACS,SDOH,No broadband internet subscription among households,%,Percentage,14.9,4.7,8518,02220,SDOH,BROAD,Percent,No broadband,POINT (-135.3673965 57.1932044),118,
2017-2021,AK,Alaska,Matanuska-Susitna Borough,5-year ACS,SDOH,Unemployment among people 16 years and older in the labor force,%,Percentage,7.4,0.6,106807,02170,SDOH,UNEMP,Percent,Unemployment,POINT (-149.5039935 62.2656263),1707,51
2017-2021,AK,Alaska,Haines Borough,5-year ACS,SDOH,Single-parent households,%,Percentage,1.6,1.7,2098,02100,SDOH,SNGPNT,Percent,Single-parent households,POINT (-135.5757906 59.0984037),1674,51
2017-2021,AK,Alaska,Skagway Municipality,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,9.5,4.7,1329,02230,SDOH,NOHSDP,Percent,No high school diploma,POINT (-135.3382787 59.5603794),1709,51
2017-2021,AK,Alaska,Bristol Bay Borough,5-year ACS,SDOH,Housing cost burden among households,%,Percentage,7.9,3.3,849,02060,SDOH,HCOST,Percent,Housing cost burden,POINT (-156.9668053 58.741661),1670,51
2017-2021,AK,Alaska,Juneau City and Borough,5-year ACS,SDOH,No high school diploma among adults aged 25 years or older,%,Percentage,4.6,1.3,32240,02110,SDOH,NOHSDP,Percent,No high school diploma,POINT (-134.1784454 58.3729099),1675,51
