id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
BORO1,Aleutians East Borough,,,,,,borough,0500000US02013,Aleutians East Borough,County,
BORO10,City and Borough of Sitka,,,,,,borough,0500000US02220,Sitka City and Borough,County,
BORO11,Petersburg Borough,,,,,,borough,0500000US02195,Petersburg Borough,County,
BORO12,City and Borough of Wrangell,,,,,,borough,0500000US02275,Wrangell City and Borough,County,
BORO13,Matanuska-Susitna Borough,,,,,,borough,0500000US02170,Matanuska-Susitna Borough,County,
BORO14,City and Borough of Yakutat,,,,,,borough,0500000US02282,Yakutat City and Borough,County,
BORO15,Kenai Peninsula Borough,,,,,,borough,0500000US02122,Kenai Peninsula Borough,County,
BORO16,Haines Borough,,,,,,borough,0500000US02100,Haines Borough,County,
BORO17,Bristol Bay Borough,,,,,,borough,0500000US02060,Bristol Bay Borough,County,
BORO18,Denali Borough,,,,,,borough,0500000US02068,Denali Borough,County,
BORO19,Municipality of Anchorage,,,,,,borough,0500000US02020,Anchorage Municipality,County,
BORO2,Lake and Peninsula Borough,,,,,,borough,0500000US02164,Lake and Peninsula Borough,County,
BORO3,North Slope Borough,,,,,,borough,0500000US02185,North Slope Borough,County,
BORO4,Kodiak Island Borough,,,,,,borough,0500000US02150,Kodiak Island Borough,County,
BORO5,Municipality of Skagway,,,,,,borough,0500000US02230,Skagway Municipality,County,
BORO6,Northwest Arctic Borough,,,,,,borough,0500000US02188,Northwest Arctic Borough,County,
BORO7,Ketchikan Gateway Borough,,,,,,borough,0500000US02130,Ketchikan Gateway Borough,County,
BORO8,Fairbanks North Star Borough,,,,,,borough,0500000US02090,Fairbanks North Star Borough,County,
BORO9,City and Borough of Juneau,,,,,,borough,0500000US02110,Juneau City and Borough,County,
CENS10,Copper River Census Area,,,,,,census_area,0500000US02066,Copper River Census Area,County,
CENS11,Chugach Census Area,,,,,,census_area,0500000US02063,Chugach Census Area,County,
CENS2,Southeast Fairbanks Census Area,,,,,,census_area,0500000US02240,Southeast Fairbanks Census Area,County,
CENS3,Dillingham Census Area,,,,,,census_area,0500000US02070,Dillingham Census Area,County,
CENS4,Hoonah-Angoon Census Area,,,,,,census_area,0500000US02105,Hoonah-Angoon Census Area,County,
CENS5,Kusilvak Census Area,,,,,,census_area,0500000US02158,Kusilvak Census Area,County,
CENS6,Nome Census Area,,,,,,census_area,0500000US02180,Nome Census Area,County,
CENS7,Prince of Wales-Hyder Census Area,,,,,,census_area,0500000US02198,Prince of Wales-Hyder Census Area,County,
CENS8,Yukon-Koyukuk Census Area,,,,,,census_area,0500000US02290,Yukon-Koyukuk Census Area,County,
CENS9,Bethel Census Area,,,,,,census_area,0500000US02050,Bethel Census Area,County,
CD1,West Coast,,,,,,climate_division,,,,
CD10,North Panhandle,,,,,,climate_division,,,,
CD11,Northeast Gulf,,,,,,climate_division,,,,
CD12,Central Panhandle,,,,,,climate_division,,,,
CD13,South Panhandle,,,,,,climate_division,,,,
CD2,Aleutians,,,,,,climate_division,,,,
CD3,Central Interior,,,,,,climate_division,,,,
CD4,North Slope,,,,,,climate_division,,,,
CD5,Northeast Interior,,,,,,climate_division,,,,
CD6,Southeast Interior,,,,,,climate_division,,,,
CD7,Cook Inlet,,,,,,climate_division,,,,
CD8,Northwest Gulf,,,,,,climate_division,,,,
CD9,Bristol Bay,,,,,,climate_division,,,,
AK1,Afognak,Agw’aneq,Alaska,US,58.0078,-152.768,community,1600000US0201560,Aleneva CDP,Census designated place,
AK10,Alexander Creek,,Alaska,US,61.4171,-150.593,community,,,,
