id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
BORO1,Aleutians East Borough,,,,,,borough,0500000US02013,Aleutians East Borough,County,
BORO19,Municipality of Anchorage,,,,,,borough,0500000US02020,Anchorage Municipality,County,
AK15,Anchorage,Dgheyaytnu,Alaska,US,61.1817,-149.993,community,0500000US02020,Anchorage Municipality,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]. See maps below for data displayed at the census tract level"
CENS9,Bethel Census Area,,,,,,census_area,0500000US02050,Bethel Census Area,County,
BORO17,Bristol Bay Borough,,,,,,borough,0500000US02060,Bristol Bay Borough,County,
CENS11,Chugach Census Area,,,,,,census_area,0500000US02063,Chugach Census Area,County,
CENS10,Copper River Census Area,,,,,,census_area,0500000US02066,Copper River Census Area,County,
BORO18,Denali Borough,,,,,,borough,0500000US02068,Denali Borough,County,
CENS3,Dillingham Census Area,,,,,,census_area,0500000US02070,Dillingham Census Area,County,
BORO8,Fairbanks North Star Borough,,,,,,borough,0500000US02090,Fairbanks North Star Borough,County,
AK124,Fairbanks,,Alaska,US,64.8378,-147.716,community,0500000US02090,Fairbanks North Star Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]. See maps below for data displayed at the census tract level"
BORO16,Haines Borough,,,,,,borough,0500000US02100,Haines Borough,County,
CENS4,Hoonah-Angoon Census Area,,,,,,census_area,0500000US02105,Hoonah-Angoon Census Area,County,
BORO9,City and Borough of Juneau,,,,,,borough,0500000US02110,Juneau City and Borough,County,
AK172,Juneau,Dzánti K'ihéeni,Alaska,US,58.3019,-134.42,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK225,Lena Beach,,Alaska,US,58.393,-134.746,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK27,Auke Bay,,Alaska,US,58.383,-134.657,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK388,Tee Harbor,,Alaska,US,58.41,-134.757,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK395,Thane,,Alaska,US,58.264,-134.328,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK99,Douglas,,Alaska,US,58.2762,-134.392,community,0500000US02110,Juneau City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
BORO15,Kenai Peninsula Borough,,,,,,borough,0500000US02122,Kenai Peninsula Borough,County,
BORO7,Ketchikan Gateway Borough,,,,,,borough,0500000US02130,Ketchikan Gateway Borough,County,
BORO4,Kodiak Island Borough,,,,,,borough,0500000US02150,Kodiak Island Borough,County,
CENS5,Kusilvak Census Area,,,,,,census_area,0500000US02158,Kusilvak Census Area,County,
BORO2,Lake and Peninsula Borough,,,,,,borough,0500000US02164,Lake and Peninsula Borough,County,
BORO13,Matanuska-Susitna Borough,,,,,,borough,0500000US02170,Matanuska-Susitna Borough,County,
CENS6,Nome Census Area,,,,,,census_area,0500000US02180,Nome Census Area,County,
BORO3,North Slope Borough,,,,,,borough,0500000US02185,North Slope Borough,County,
BORO6,Northwest Arctic Borough,,,,,,borough,0500000US02188,Northwest Arctic Borough,County,
BORO11,Petersburg Borough,,,,,,borough,0500000US02195,Petersburg Borough,County,
CENS7,Prince of Wales-Hyder Census Area,,,,,,census_area,0500000US02198,Prince of Wales-Hyder Census Area,County,
BORO10,City and Borough of Sitka,,,,,,borough,0500000US02220,Sitka City and Borough,County,
AK29,Baranof Warm Springs,,Alaska,US,57.0895,-134.8337,community,0500000US02220,Sitka City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK360,Sitka,Sheet'ká,Alaska,US,57.053,-135.33,community,0500000US02220,Sitka City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK60,Chatham,,Alaska,US,57.514,-134.924,community,0500000US02220,Sitka City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
BORO5,Municipality of Skagway,,,,,,borough,0500000US02230,Skagway Municipality,County,
CENS2,Southeast Fairbanks Census Area,,,,,,census_area,0500000US02240,Southeast Fairbanks Census Area,County,
BORO12,City and Borough of Wrangell,,,,,,borough,0500000US02275,Wrangell City and Borough,County,
AK249,Meyers Chuck,,Alaska,US,55.7408,-132.256,community,0500000US02275,Wrangell City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK434,Wrangell,Shtax’héen,Alaska,US,56.4708,-132.377,community,0500000US02275,Wrangell City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
BORO14,City and Borough of Yakutat,,,,,,borough,0500000US02282,Yakutat City and Borough,County,
AK53,Cape Yakataga,,Alaska,US,60.0652,-142.428,community,0500000US02282,Yakutat City and Borough,County,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
CENS8,Yukon-Koyukuk Census Area,,,,,,census_area,0500000US02290,Yukon-Koyukuk Census Area,County,
AK110,Eklutna,Idlughet,Alaska,US,61.458,-149.362,community,1400000US02020000101,Census Tract 1.01,Census tract,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
AK43,Birchwood,,Alaska,US,61.4081,-149.481,community,1400000US02020000102,Census Tract 1.02,Census tract,"Data represent information from nearest [COLUMN K], [COLUMN J], which includes [all COLUMN Bs for COLUMN J]"
