id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
,Susitna,,Alaska,US,61.578610,-150.609051,community,1600000US0274340,Susitna CDP,Census designated place,
,Adak,Adaax,Alaska,US,51.867055,-176.638921,community,1600000US0200065,Adak city,Incorporated place,No data in NCR
,Alcan Border,,Alaska,US,62.685631,-141.125333,community,1600000US0201390,Alcan Border CDP,Census designated place,
,Aleneva,,Alaska,US,58.004623,-152.882483,community,1600000US0201560,Aleneva CDP,Census designated place,
,Badger,,Alaska,US,64.805794,-147.403888,community,1600000US0205000,Badger CDP,Census designated place,
,Bear Creek,,Alaska,US,60.1838786509902,-149.388613199976,community,1600000US0205585,Bear Creek CDP,Census designated place,
,Beluga,,Alaska,US,61.1848971678011,-151.034967549034,community,1600000US0206245,Beluga CDP,Census designated place,
,Buffalo Soapstone,,Alaska,US,61.6683758222176,-149.12165836103,community,1600000US0209657,Buffalo Soapstone CDP,Census designated place,
,Butte,,Alaska,US,61.5416745390065,-149.03633324702,community,1600000US0209710,Butte CDP,Census designated place,
,Chase,,Alaska,US,62.4250653005809,-150.124472554245,community,1600000US0212350,Chase CDP,Census designated place,
,Chena Ridge,,Alaska,US,64.822784145061,-147.976405236217,community,1600000US0212920,Chena Ridge CDP,Census designated place,
,Chignik,Cirniq,Alaska,US,56.293705029468,-158.406018380335,community,1600000US0213550,Chignik city,Incorporated place,
,Coldfoot,,Alaska,US,67.251042189194,-150.174373175422,community,1600000US0216630,Coldfoot CDP,Census designated place,
,Covenant Life,,Alaska,US,59.400312169574,-136.002684880433,community,1600000US0217670,Covenant Life CDP,Census designated place,
,Craig,Sháan Séet,Alaska,US,55.4767530780551,-133.135983624861,community,1600000US0217740,Craig city,Incorporated place,
,Crown Point,,Alaska,US,60.4288603056793,-149.37073191973,community,1600000US0217960,Crown Point CDP,Census designated place,
,Deltana,,Alaska,US,64.0404406350045,-145.518234630497,community,1600000US0218675,Deltana CDP,Census designated place,
,Denali Park,,Alaska,US,63.6387769214946,-148.789516985341,community,1600000US0218805,Denali Park CDP,Census designated place,
,Diamond Ridge,,Alaska,US,59.681376082414,-151.622593964408,community,1600000US0218925,Diamond Ridge CDP,Census designated place,
,Dot Lake Village,,Alaska,US,63.6567844118242,-144.048406894792,community,1600000US0219750,Dot Lake Village CDP,Census designated place,
,Eareckson Station,,Alaska,US,52.7132490427379,174.122309295462,community,1600000US0220716,Eareckson Station CDP,Census designated place,No data in NCR
,Elfin Cove,,Alaska,US,58.1941890862091,-136.34524705161,community,1600000US0222140,Elfin Cove CDP,Census designated place,
,Eureka Roadhouse,,Alaska,US,61.9374674826658,-147.168759272918,community,1600000US0223720,Eureka Roadhouse CDP,Census designated place,
,Evansville,,Alaska,US,66.9237732221992,-151.506064007722,community,1600000US0223790,Evansville CDP,Census designated place,
,Farm Loop,,Alaska,US,61.6353844493236,-149.148188283349,community,1600000US0225000,Farm Loop CDP,Census designated place,
,Farmers Loop,,Alaska,US,64.8988401940291,-147.69782906564,community,1600000US0224980,Farmers Loop CDP,Census designated place,
,Fishhook,,Alaska,US,61.6718493583189,-149.223920212697,community,1600000US0225550,Fishhook CDP,Census designated place,
,Four Mile Road,,Alaska,US,64.6018340512738,-149.130581429964,community,1600000US0226835,Four Mile Road CDP,Census designated place,
,Fox River,,Alaska,US,59.8164082529192,-151.089466730094,community,1600000US0226910,Fox River CDP,Census designated place,
,Fritz Creek,,Alaska,US,59.6914642064113,-151.374620472768,community,1600000US0227090,Fritz Creek CDP,Census designated place,
,Funny River,,Alaska,US,60.5020669953468,-150.793904769706,community,1600000US0227145,Funny River CDP,Census designated place,
,Gambell,Sivuqaq,Alaska,US,63.7769530513387,-171.716902816154,community,1600000US0227640,Gambell city,Incorporated place,
,Game Creek,,Alaska,US,58.0752048088314,-135.484016627074,community,1600000US0227700,Game Creek CDP,Census designated place,
,Gateway,,Alaska,US,61.563761550227,-149.264496073506,community,1600000US0228200,Gateway CDP,Census designated place,
,Glacier View,,Alaska,US,61.7976837297296,-147.602615777868,community,1600000US0228590,Glacier View CDP,Census designated place,
,Goldstream,,Alaska,US,64.9130934027709,-147.905143181693,community,1600000US0229130,Goldstream CDP,Census designated place,
